,Date,City,State,Country,Shape,Duration,Summary,Posted,Images
29,12/17/22 18:45,Oklahoma City,OK,USA,Cigar,About a minute,"While getting ready to take off from PWA, I looked to the NW (wearing NVG’s) and saw an elongated oval shaped object",12/22/22,
30,12/17/22 18:40,Galva,IA,USA,Disk,30 seconds,Light Blue line in sight 30 seconds moving northerly,12/22/22,
31,12/17/22 18:10,Riverside,CA,USA,Triangle,10 seconds,"heading south, about 500 ft above the ground.",12/22/22,
32,12/17/22 18:05,Sterlng,CO,USA,Cigar,15-25 seconds,"LONG illuminated ""cigar"" shaped craft that appeared from nowhere moving as one craft until fading out quickly",12/22/22,
33,12/17/22 16:42,Westcliffe,CO,USA,Cigar,1.5 minutes,While sitting in our hot tub on outdoors deck we noticed a definitively cigar shaped craft moving across the sky.,12/22/22,
34,12/17/22 04:35,Millen,GA,USA,Triangle,1 minute,Witnessed a triangular object pulsating with red lights in an irregular way.,12/22/22,
35,12/17/22 02:29,Flushing,NY,USA,Unknown,3 hours,I live near La'guardia Airport and I notice lights flashing and just hovering suspending in the sky not moving.,12/22/22,
36,12/16/22 23:00,Overland Park,KS,USA,Circle,10 seconds,3 fast circular lights,12/22/22,
37,12/16/22 21:20,Cape Coral,FL,USA,Light,1-3 min,Lights in triangle forms flashing & taking off,12/22/22,
38,12/16/22 17:53,Belhaven,NC,USA,Cone,,Lighting in sky with orb of light around it and then disappeared after ~3-4 minutes (SpaceX),12/22/22,Yes
39,12/16/22 17:38,,NC,USA,Cylinder,5 mins,The “craft” hovered over i95,12/22/22,
40,12/16/22 16:00,Franklin,NC,USA,Circle,5 minutes,Stationary craft with no contrails with other aircraft with contrails in distance,12/22/22,
41,12/16/22 08:00,San Bernardino,CA,USA,Sphere,30-40 seconds,"I saw a Sphere like object, silver in color floating in the sky before it just disappeared",12/22/22,
42,12/16/22 03:47,Santa Barbara,CA,USA,Unknown,Appx 10-15 seconds,"Orange glow across sky, then bright orange/fire colored object rising upwards and disappearing into night sky",12/22/22,
43,12/16/22 03:00,Bathurst,New South Wales,Australia,Light,Around an hour,"UFOs disguised as stars, dart past window.",12/22/22,
