,Date,City,State,Country,Shape,Duration,Summary,Posted,Images
309,7/12/22 22:10,Greybull,WY,USA,,20-30 minutes,"Two large glowing objects ejected 3-5 smaller, faster, brighter flying objects into the sky, disappearing over the Western horizon.",9/9/22,Yes
310,7/12/22 21:43,Chesterfield,MO,USA,,1:42,Conclusive video evidence of bright white sphere moving West to East. Morphing like a fireball or star.,9/9/22,
311,7/12/22 20:08,Sebring,OH,USA,Unknown,Odd object moving through,Quiet revolutionary object unbelievably foreign to the sight.,9/9/22,
312,7/12/22 20:00,Maidstone,Kent,United Kingdom,Sphere,2 mins approx,Saw two spheres one behind.,9/9/22,
313,7/12/22 19:30,Linden,PA,USA,Oval,30 seconds,Daylight sighting of Oval shaped Object.,12/22/22,
314,7/12/22 13:30,Tucson,AZ,USA,Changing,3 hrs,Ufo shape shifting up in the sky focused on it and inside a squid looking creature driving,9/9/22,Yes
315,7/12/22 02:00,Bigelow,AR,USA,Disk,At least a half hour more,I saw a strange light hovering with red green lights flickering I took my camera and filmed it . It was moving up/down /diagonal,9/9/22,Yes
316,7/11/22 23:34,OAKRIDGE,OR,USA,Light,4 sec,Object caught on security camera. Seems slower than meteor,9/9/22,
317,7/11/22 23:30,KOLKATA,,India,Light,1 hour,"A light larger and brighter than star.when zoomed in mobile camera, the pattern was changing",9/9/22,Yes
318,7/11/22 23:00,Bloomfield,NM,USA,Circle,1 maybe 2 minutes,"It was a ball of light that came from the north west, did a u and went in the north east direction",9/9/22,
319,7/11/22 22:37,Evansville,IN,USA,Unknown,My video is 9 sec,There was like a drone then what I can describe as a man operated drone,12/22/22,
320,7/11/22 22:03,Los Angeles,CA,USA,Disk,One - two minutes,"While observing the International Space Station, I saw a three-sided circular disk, flipping over and over like a coin, heading west.",9/9/22,Yes
321,7/11/22 22:03,"Van Nuys, Los Angeles",CA,USA,Cylinder,About one minute,This is an addendum to a previous report I filed at the end of August,10/8/22,
